7,000525,红 太 阳,详情 数据 股吧,9.67,2.98%,179.14万,0.57%,-766.67万,-2.45%,945.81万,3.03%,-268.87万,-0.86%,89.73万,0.29%,农药兽药
8,002749,国光股份,详情 数据 股吧,11.53,0.61%,116.96万,6.51%,0.00,0.00%,116.96万,6.51%,-115.71万,-6.44%,-1.25万,-0.07%,农药兽药
9,002868,绿康生化,详情 数据 股吧,16.22,-2.11%,77.22万,4.31%,0.00,0.00%,77.22万,4.31%,-245.43万,-13.69%,168.20万,9.38%,农药兽药
10,002513,蓝丰生化,详情 数据 股吧,6.19,0.98%,26.47万,0.34%,0.00,0.00%,26.47万,0.34%,-131.35万,-1.66%,104.88万,1.33%,农药兽药
11,603599,广信股份,详情 数据 股吧,15.56,2.91%,26.09万,0.21%,0.00,0.00%,26.09万,0.21%,364.81万,2.87%,-390.90万,-3.07%,农药兽药
12,200553,安道麦B,详情 数据 股吧,4.98,3.53%,15.32万,4.98%,0.00,0.00%,15.32万,4.98%,53.69万,17.44%,-69.02万,-22.41%,农药兽药
13,002391,长青股份,详情 数据 股吧,10.88,8.69%,-28.42万,-0.04%,3289.20万,4.77%,-3317.62万,-4.81%,-1787.24万,-2.59%,1815.65万,2.63%,农药兽药
14,300796,贝斯美,详情 数据 股吧,21.91,0.92%,-71.42万,-1.14%,0.00,0.00%,-71.42万,-1.14%,85.11万,1.35%,-13.68万,-0.22%,农药兽药
15,603810,丰山集团,详情 数据 股吧,28.73,0.38%,-90.79万,-3.19%,0.00,0.00%,-90.79万,-3.19%,79.71万,2.80%,11.08万,0.39%,农药兽药
16,002942,新农股份,详情 数据 股吧,26.57,1.68%,-125.07万,-1.96%,0.00,0.00%,-125.07万,-1.96%,-150.37万,-2.36%,275.44万,4.32%,农药兽药
17,603566,普莱柯,详情 数据 股吧,17.42,-1.02%,-128.08万,-3.01%,-3.54万,-0.08%,-124.54万,-2.93%,65.26万,1.53%,62.82万,1.48%,农药兽药
18,600796,钱江生化,详情 数据 股吧,5.87,0.34%,-192.77万,-2.03%,124.36万,1.31%,-317.13万,-3.34%,-177.78万,-1.87%,370.56万,3.90%,农药兽药
19,002215,诺 普 信,详情 数据 股吧,7.00,6.06%,-205.75万,-0.47%,516.08万,1.17%,-721.83万,-1.64%,20.84万,0.05%,184.91万,0.42%,农药兽药
20,000553,安道麦A,详情 数据 股吧,10.09,4.02%,-283.69万,-1.32%,-348.39万,-1.62%,64.70万,0.30%,419.89万,1.95%,-136.20万,-0.63%,农药兽药
21,300575,中旗股份,详情 数据 股吧,26.90,0.82%,-294.08万,-3.54%,-122.47万,-1.47%,-171.61万,-2.06%,577.92万,6.95%,-283.84万,-3.41%,农药兽药
22,603970,中农立华,详情 数据 股吧,14.85,2.70%,-301.50万,-1.67%,116.41万,0.65%,-417.91万,-2.32%,-191.69万,-1.06%,493.19万,2.74%,农药兽药
23,603086,先达股份,详情 数据 股吧,21.56,0.14%,-306.26万,-3.55%,-153.90万,-1.78%,-152.36万,-1.76%,160.60万,1.86%,145.66万,1.69%,农药兽药
24,600486,扬农化工,详情 数据 股吧,72.70,-1.25%,-333.05万,-0.68%,152.65万,0.31%,-485.70万,-1.00%,1504.65万,3.09%,-1171.61万,-2.41%,农药兽药
25,002004,华邦健康,详情 数据 股吧,5.02,-0.59%,-380.38万,-4.00%,-421.40万,-4.43%,41.02万,0.43%,354.97万,3.73%,25.41万,0.27%,农药兽药
26,603718,海利生物,详情 数据 股吧,15.03,0.54%,-506.83万,-6.66%,-149.36万,-1.96%,-357.48万,-4.70%,-55.36万,-0.73%,562.19万,7.39%,农药兽药
27,600731,湖南海利,详情 数据 股吧,6.97,-0.43%,-635.01万,-4.46%,140.44万,0.99%,-775.44万,-5.44%,84.02万,0.59%,550.99万,3.87%,农药兽药
28,600201,生物股份,详情 数据 股吧,22.75,2.76%,-1322.10万,-2.64%,645.38万,1.29%,-1967.48万,-3.94%,706.24万,1.41%,615.86万,1.23%,农药兽药
29,600226,瀚叶股份,详情 数据 股吧,2.80,-2.44%,-1423.73万,-9.33%,-994.21万,-6.51%,-429.52万,-2.81%,208.81万,1.37%,1214.92万,7.96%,农药兽药
30,688098,申联生物,详情 数据 股吧,23.28,-0.64%,-1608.73万,-8.48%,-206.72万,-1.09%,-1402.01万,-7.39%,349.45万,1.84%,1259.29万,6.64%,农药兽药
